sample,decay,suu_mass,chi_mass,th_code,pt_cut,ak_radius,ca_radius,filename,status,error,n_events,n_valid_events,reconstruction_efficiency,reconstruction_efficiency_err,f_low_event,f_low_event_err,f_low_chi,f_peak_chi,f_peak_event_both,f_peak_event_both_all,off_peak_event_fraction,off_peak_event_fraction_err,median_mass,q16_mass,q84_mass,median_mass_response,q16_mass_response,q84_mass_response,robust_resolution,median_mass_asymmetry,balanced_score
WbHt_4000_1000,WbHt,4000,1000,85,100,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_4000_1000_pt100_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.015,0.003843826218756514,0.009,0.692,0.649,0.649,0.351,0.015093011627902497,1035.6475988433751,870.1950838892736,1483.3934738414887,1.035647598843375,0.8701950838892736,1.4833934738414887,0.296045870543727,0.0008506501711672526,0.6506106304280646
WbHt_4000_1000,WbHt,4000,1000,85,120,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_4000_1000_pt120_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.024,0.004839834707921336,0.0145,0.7045,0.643,0.643,0.357,0.015150940564862632,1005.6667493037075,831.9793067893287,1424.0069183271876,1.0056667493037077,0.8319793067893286,1.4240069183271875,0.2943458217882615,0.0034955331238117377,0.6519124967186323
WbHt_4000_1000,WbHt,4000,1000,85,140,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_4000_1000_pt140_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.038,0.006046155803483731,0.024,0.685,0.605,0.605,0.395,0.015458816254810716,982.3195784760844,775.6220864442361,1384.853342605639,0.9823195784760843,0.775622086444236,1.384853342605639,0.31009829667984956,0.012725267009155652,0.7068663388322411
WbHt_4000_1000,WbHt,4000,1000,85,140,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_4000_1000_pt140_ak8_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.046,0.006624499981130651,0.0255,0.6425,0.563,0.563,0.43700000000000006,0.01568537535413163,1059.5623263887735,883.566276663957,1561.977163447794,1.0595623263887735,0.8835662766639569,1.5619771634477941,0.32013731985734806,0.015638857019318768,0.7630935524962255
WbHt_4000_1000,WbHt,4000,1000,85,120,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_4000_1000_pt120_ak8_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.026,0.0050322956987840055,0.015,0.626,0.561,0.561,0.43899999999999995,0.015693278816104682,1096.969134034116,918.0479381650113,1608.0494452435835,1.096969134034116,0.9180479381650114,1.6080494452435836,0.3145036107538797,0.010907132768754189,0.7632005241572912
WbHt_4000_1000,WbHt,4000,1000,85,160,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_4000_1000_pt160_ak8_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.061,0.0075682891065286355,0.0355,0.6495,0.55,0.55,0.44999999999999996,0.015732132722552274,1042.7852107417934,846.6832271692607,1501.2662753332515,1.0427852107417932,0.8466832271692607,1.5012662753332515,0.3138628364792152,0.0214811421232253,0.7681413575533944
WbHt_4000_1000,WbHt,4000,1000,85,160,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_4000_1000_pt160_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.06,0.007509993342207435,0.0405,0.6685,0.563,0.563,0.43700000000000006,0.01568537535413163,963.3418306506853,715.1713610548798,1347.4011047772408,0.9633418306506853,0.7151713610548797,1.347401104777241,0.32814403133274317,0.023838564903545408,0.7688098482676746
WbHt_4000_1000,WbHt,4000,1000,85,180,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_4000_1000_pt180_ak8_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.079,0.008529888627643388,0.047,0.645,0.529,0.529,0.471,0.01578477114183161,1030.646002115631,792.2621410509347,1460.209764841045,1.0306460021156312,0.7922621410509347,1.460209764841045,0.3240431837988012,0.030279344946281785,0.7981077840103643
WbHt_4000_1000,WbHt,4000,1000,85,100,0.6,1.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_4000_1000_pt100_ak6_ca14_th85.root,ok,,1000,1000,1.0,0.0,0.138,0.01090669519148674,0.0705,0.682,0.513,0.513,0.487,0.015806043148112688,974.7481656754794,745.4886665959017,1355.0696839309542,0.9747481656754793,0.7454886665959017,1.3550696839309544,0.312686414194289,0.11390871725409758,0.802211597626741
WbHt_4000_1000,WbHt,4000,1000,85,100,0.6,1.2,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_4000_1000_pt100_ak6_ca12_th85.root,ok,,1000,1000,1.0,0.0,0.116,0.010126401137620413,0.0595,0.67,0.518,0.518,0.482,0.01580113919943749,987.8253060859217,778.1948446960162,1428.5962929590805,0.9878253060859218,0.7781948446960162,1.4285962929590805,0.32920873977209686,0.09636221689264732,0.8124262091635046
WbHt_4000_1000,WbHt,4000,1000,85,100,0.6,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_4000_1000_pt100_ak6_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.071,0.008121514637061242,0.037,0.643,0.542,0.542,0.45799999999999996,0.015755506973753653,1020.3848112110309,833.2944659520946,1553.9090530224535,1.0203848112110308,0.8332944659520946,1.5539090530224535,0.35310922857382926,0.05685426906976167,0.8131477096949322
WbHt_4000_1000,WbHt,4000,1000,85,100,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_4000_1000_pt100_ak8_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.012,0.003443254274665175,0.0065,0.5865,0.541,0.541,0.45899999999999996,0.015758140753274162,1159.1387150997562,947.3849543995192,1732.7642181136714,1.1591387150997563,0.9473849543995192,1.7327642181136713,0.3387770822780955,0.0040830295137779995,0.8136909537880711
WbHt_4000_1000,WbHt,4000,1000,85,200,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_4000_1000_pt200_ak8_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.094,0.009228434320078352,0.0595,0.6445,0.519,0.519,0.481,0.01579996835439869,1018.9380608441949,732.9254456455096,1409.3007199564324,1.018938060844195,0.7329254456455097,1.4093007199564322,0.3319020558278795,0.036434007357579956,0.814795861912299
WbHt_4000_1000,WbHt,4000,1000,85,100,0.6,1.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_4000_1000_pt100_ak6_ca16_th85.root,ok,,1000,1000,1.0,0.0,0.16,0.01159310139695155,0.0815,0.677,0.499,0.499,0.501,0.015811356678033673,968.2079859520711,715.989692505045,1332.5554971289137,0.9682079859520711,0.715989692505045,1.3325554971289137,0.31840565951208255,0.1268847721251002,0.8225848609168754
WbHt_4000_1000,WbHt,4000,1000,85,200,1.0,0.8,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_4000_1000_pt200_ak10_ca8_th85.root,ok,,1000,1000,1.0,0.0,0.046,0.006624499981130651,0.026,0.6155,0.497,0.497,0.503,0.01581110369329099,1106.8335547079,871.7342166551856,1555.8486783761725,1.1068335547079,0.8717342166551856,1.5558486783761725,0.30904125503383784,0.03635776036687485,0.8227246105046279
WbHt_4000_1000,WbHt,4000,1000,85,160,1.0,0.8,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_4000_1000_pt160_ak10_ca8_th85.root,ok,,1000,1000,1.0,0.0,0.023,0.004740358636221525,0.013,0.6015,0.512,0.512,0.488,0.01580683396509244,1140.3290280811052,948.6181933394803,1681.2674500809064,1.1403290280811054,0.9486181933394804,1.6812674500809064,0.3212446753084482,0.02130885811757193,0.8232775781165587
WbHt_4000_1000,WbHt,4000,1000,85,140,0.8,1.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_4000_1000_pt140_ak8_ca14_th85.root,ok,,1000,1000,1.0,0.0,0.173,0.011961229033840962,0.089,0.655,0.487,0.487,0.513,0.015806043148112688,1014.9160351858621,768.4291905144133,1414.5288875840815,1.0149160351858622,0.7684291905144134,1.4145288875840816,0.31830204404611045,0.11329321891524181,0.8327936475646966
WbHt_4000_1000,WbHt,4000,1000,85,100,0.6,0.8,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_4000_1000_pt100_ak6_ca8_th85.root,ok,,1000,1000,1.0,0.0,0.083,0.008724161850859944,0.043,0.6415,0.531,0.531,0.469,0.01578096955196353,1014.7020250020437,818.9189170564017,1557.6598382271914,1.0147020250020438,0.8189189170564017,1.5576598382271916,0.36401864930214456,0.06605647729888625,0.8344888518023489
WbHt_4000_1000,WbHt,4000,1000,85,120,0.8,1.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_4000_1000_pt120_ak8_ca14_th85.root,ok,,1000,1000,1.0,0.0,0.131,0.010669536072388528,0.0675,0.6475,0.487,0.487,0.513,0.015806043148112688,1034.6057310643941,815.8215253186484,1474.6313505221515,1.034605731064394,0.8158215253186483,1.4746313505221513,0.3183869011269273,0.10664439337848668,0.8348474742333667
WbHt_4000_1000,WbHt,4000,1000,85,100,0.4,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_4000_1000_pt100_ak4_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.11,0.009894442884771228,0.0575,0.6525,0.529,0.529,0.471,0.01578477114183161,947.8681243007877,738.1175549143093,1419.539496380706,0.9478681243007876,0.7381175549143092,1.4195394963807058,0.3594497609934188,0.05823014708529664,0.83566294856334
WbHt_4000_1000,WbHt,4000,1000,85,180,1.0,0.8,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_4000_1000_pt180_ak10_ca8_th85.root,ok,,1000,1000,1.0,0.0,0.04,0.0061967733539318665,0.023,0.6025,0.496,0.496,0.504,0.01581088232832058,1123.6482575383498,915.462727349594,1635.1329509800967,1.1236482575383495,0.915462727349594,1.6351329509800967,0.3202382145846654,0.029054637802578363,0.8366030403385003
