WbWb_4000_1000	100	0.4	0.4	0.85	4	4	85
WbWb_4000_1000	100	0.4	0.6	0.85	4	6	85
WbWb_4000_1000	100	0.4	0.8	0.85	4	8	85
WbWb_4000_1000	100	0.4	1.0	0.85	4	10	85
WbWb_4000_1000	100	0.4	1.2	0.85	4	12	85
WbWb_4000_1000	100	0.4	1.4	0.85	4	14	85
WbWb_4000_1000	100	0.4	1.6	0.85	4	16	85
WbWb_4000_1000	100	0.6	0.4	0.85	6	4	85
WbWb_4000_1000	100	0.6	0.6	0.85	6	6	85
WbWb_4000_1000	100	0.6	0.8	0.85	6	8	85
WbWb_4000_1000	100	0.6	1.0	0.85	6	10	85
WbWb_4000_1000	100	0.6	1.2	0.85	6	12	85
WbWb_4000_1000	100	0.6	1.4	0.85	6	14	85
WbWb_4000_1000	100	0.6	1.6	0.85	6	16	85
WbWb_4000_1000	100	0.8	0.6	0.85	8	6	85
WbWb_4000_1000	100	0.8	0.8	0.85	8	8	85
WbWb_4000_1000	100	0.8	1.0	0.85	8	10	85
WbWb_4000_1000	100	0.8	1.2	0.85	8	12	85
WbWb_4000_1000	100	0.8	1.4	0.85	8	14	85
WbWb_4000_1000	100	0.8	1.6	0.85	8	16	85
WbWb_4000_1000	100	1.0	0.8	0.85	10	8	85
WbWb_4000_1000	100	1.0	1.0	0.85	10	10	85
WbWb_4000_1000	100	1.0	1.2	0.85	10	12	85
WbWb_4000_1000	100	1.0	1.4	0.85	10	14	85
WbWb_4000_1000	100	1.0	1.6	0.85	10	16	85
WbWb_4000_1000	100	1.2	1.0	0.85	12	10	85
WbWb_4000_1000	100	1.2	1.2	0.85	12	12	85
WbWb_4000_1000	100	1.2	1.4	0.85	12	14	85
WbWb_4000_1000	100	1.2	1.6	0.85	12	16	85
WbWb_4000_1000	100	1.4	1.2	0.85	14	12	85
WbWb_4000_1000	100	1.4	1.4	0.85	14	14	85
WbWb_4000_1000	100	1.4	1.6	0.85	14	16	85
WbWb_4000_1000	100	1.6	1.4	0.85	16	14	85
WbWb_4000_1000	100	1.6	1.6	0.85	16	16	85
WbWb_4000_1000	120	0.4	0.4	0.85	4	4	85
WbWb_4000_1000	120	0.4	0.6	0.85	4	6	85
WbWb_4000_1000	120	0.4	0.8	0.85	4	8	85
WbWb_4000_1000	120	0.4	1.0	0.85	4	10	85
WbWb_4000_1000	120	0.4	1.2	0.85	4	12	85
WbWb_4000_1000	120	0.4	1.4	0.85	4	14	85
WbWb_4000_1000	120	0.4	1.6	0.85	4	16	85
WbWb_4000_1000	120	0.6	0.4	0.85	6	4	85
WbWb_4000_1000	120	0.6	0.6	0.85	6	6	85
