sample,decay,suu_mass,chi_mass,th_code,pt_cut,ak_radius,ca_radius,filename,status,error,n_events,n_valid_events,reconstruction_efficiency,reconstruction_efficiency_err,f_low_event,f_low_event_err,f_low_chi,f_peak_chi,f_peak_event_both,f_peak_event_both_all,off_peak_event_fraction,off_peak_event_fraction_err,median_mass,q16_mass,q84_mass,median_mass_response,q16_mass_response,q84_mass_response,robust_resolution,median_mass_asymmetry,balanced_score
WbHt_6000_2000,WbHt,6000,2000,85,100,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_6000_2000_pt100_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.023,0.004740358636221525,0.0115,0.878,0.837,0.837,0.16300000000000003,0.011680368144883107,1930.4418174140374,1672.2605159451825,2273.42225278081,0.9652209087070187,0.8361302579725912,1.136711126390405,0.15570573829594256,0.0004510591390610321,0.32218364742524075
WbHt_6000_2000,WbHt,6000,2000,85,120,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_6000_2000_pt120_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.034,0.005730968504537431,0.017,0.862,0.811,0.811,0.18899999999999995,0.012380589646701,1912.2806621052769,1636.9653241671185,2243.4205586185462,0.9561403310526384,0.8184826620835592,1.1217102793092733,0.15856857376358305,0.0025757600066402793,0.35195454065831916
WbHt_6000_2000,WbHt,6000,2000,85,140,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_6000_2000_pt140_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.043,0.006414904519944158,0.022,0.853,0.795,0.795,0.20499999999999996,0.012766166221697099,1896.3737818409795,1604.9433642076826,2216.540311883971,0.9481868909204898,0.8024716821038413,1.1082701559419854,0.1612543248416344,0.005386462391743403,0.3714356357495854
WbHt_6000_2000,WbHt,6000,2000,85,160,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_6000_2000_pt160_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.056,0.007270763371201128,0.029,0.843,0.777,0.777,0.22299999999999998,0.013163244280951409,1886.7127823921733,1564.7379403374546,2173.434114910781,0.9433563911960866,0.7823689701687273,1.0867170574553906,0.16131129768505556,0.009344509531909202,0.3899756585654469
WbHt_6000_2000,WbHt,6000,2000,85,120,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_6000_2000_pt120_ak8_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.033,0.005648982209212559,0.0165,0.8215,0.761,0.761,0.239,0.01348625225924534,2000.649952614554,1746.6657355610762,2446.57926931316,1.000324976307277,0.8733328677805381,1.22328963465658,0.1749215380825117,0.009658084331188251,0.4139540357132394
WbHt_6000_2000,WbHt,6000,2000,85,100,0.4,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_6000_2000_pt100_ak4_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.049,0.006826346021115542,0.0245,0.8435,0.765,0.765,0.235,0.013408019988051927,1844.4331229786987,1552.736047977692,2197.3536132942113,0.9222165614893494,0.7763680239888459,1.0986768066471055,0.1747467981586351,0.03358765927154326,0.41752514200970015
WbHt_6000_2000,WbHt,6000,2000,85,140,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_6000_2000_pt140_ak8_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.049,0.006826346021115542,0.0245,0.815,0.743,0.743,0.257,0.013818502089589886,1982.6997963554916,1696.6883731238531,2388.3290721574344,0.9913498981777458,0.8483441865619266,1.1941645360787172,0.1744189161427574,0.012512222493285362,0.4322839263249828
WbHt_6000_2000,WbHt,6000,2000,85,180,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_6000_2000_pt180_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.076,0.008379976133617566,0.0405,0.821,0.747,0.747,0.253,0.013747399754135324,1875.8023103335534,1487.869085746572,2140.5004457779305,0.9379011551667766,0.743934542873286,1.0702502228889652,0.17396059180546275,0.013683756201382404,0.4331704762887851
WbHt_6000_2000,WbHt,6000,2000,85,160,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_6000_2000_pt160_ak8_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.053,0.00708456067798138,0.0265,0.8145,0.737,0.737,0.263,0.013922320208930694,1970.2422538114665,1669.685765644551,2336.26013798828,0.9851211269057333,0.8348428828222756,1.16813006899414,0.16916051085957315,0.015794045405326012,0.4336483981689998
WbHt_6000_2000,WbHt,6000,2000,85,180,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/WbHt_6000_2000_pt180_ak8_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.066,0.007851369307324678,0.034,0.815,0.735,0.735,0.265,0.013956181426163821,1958.507298483088,1635.881053203699,2317.915721288567,0.979253649241544,0.8179405266018493,1.1589578606442834,0.17412104325909858,0.018558511775263298,0.4411956783349442
