sample,decay,suu_mass,chi_mass,th_code,pt_cut,ak_radius,ca_radius,filename,status,error,n_events,n_valid_events,reconstruction_efficiency,reconstruction_efficiency_err,f_low_event,f_low_event_err,f_low_chi,f_peak_chi,f_peak_event_both,f_peak_event_both_all,off_peak_event_fraction,off_peak_event_fraction_err,median_mass,q16_mass,q84_mass,median_mass_response,q16_mass_response,q84_mass_response,robust_resolution,median_mass_asymmetry,balanced_score
ZtZt_8000_3000,ZtZt,8000,3000,85,120,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/ZtZt_8000_3000_pt120_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.026,0.0050322956987840055,0.013,0.918,0.88,0.88,0.12,0.010276186062932104,2826.9700087634587,2520.0674590848257,3101.506157679767,0.9423233362544863,0.8400224863616087,1.0338353858932556,0.10283779042446706,0.004979966943424827,0.22860545679901842
ZtZt_8000_3000,ZtZt,8000,3000,85,140,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/ZtZt_8000_3000_pt140_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.038,0.006046155803483731,0.0195,0.9135,0.871,0.871,0.129,0.010599952830083727,2823.0667506631453,2489.7118908413518,3075.7708719497728,0.9410222502210484,0.8299039636137839,1.0252569573165908,0.10379828620254092,0.006716858013425715,0.2386960611804361
ZtZt_8000_3000,ZtZt,8000,3000,85,160,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/ZtZt_8000_3000_pt160_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.05,0.006892024376045111,0.0265,0.9075,0.864,0.864,0.136,0.010839926199010766,2813.8916149752968,2464.923027807173,3058.8336390815584,0.9379638716584322,0.8216410092690577,1.0196112130271862,0.10553189186705746,0.008055605108806825,0.24773550470121425
ZtZt_8000_3000,ZtZt,8000,3000,85,140,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/ZtZt_8000_3000_pt140_ak8_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.047,0.006692607862410586,0.0235,0.897,0.855,0.855,0.14500000000000002,0.011134406135937382,2905.431578014417,2566.868463331259,3211.184471512265,0.9684771926714724,0.8556228211104197,1.070394823837422,0.11088129093395047,0.011067850936937865,0.25903357166680324
ZtZt_8000_3000,ZtZt,8000,3000,85,160,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/ZtZt_8000_3000_pt160_ak8_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.057,0.007331507348424334,0.0285,0.8965,0.852,0.852,0.14800000000000002,0.011229247525992114,2896.653859635871,2529.432712652639,3173.3877710779902,0.9655512865452903,0.8431442375508796,1.0577959236926633,0.11115498945157025,0.01234037776560409,0.26259986079704123
ZtZt_8000_3000,ZtZt,8000,3000,85,180,0.6,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/ZtZt_8000_3000_pt180_ak6_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.06,0.007509993342207435,0.0315,0.897,0.852,0.852,0.14800000000000002,0.011229247525992114,2809.356600428283,2423.7637366547606,3040.6663724668197,0.936452200142761,0.8079212455515867,1.0135554574889398,0.10979429163923392,0.008964553475947878,0.2641490716249578
ZtZt_8000_3000,ZtZt,8000,3000,85,180,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/ZtZt_8000_3000_pt180_ak8_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.066,0.007851369307324678,0.0335,0.8915,0.845,0.845,0.15500000000000003,0.011444430960078356,2886.5706322126175,2521.6388904726864,3152.129118708802,0.9621902107375392,0.8405462968242288,1.0507097062362674,0.10921094762071207,0.013661599972669396,0.26799192654695814
ZtZt_8000_3000,ZtZt,8000,3000,85,100,0.4,0.4,/eos/uscms/store/user/aji/rootfiles_existingOptimization/ZtZt_8000_3000_pt100_ak4_ca4_th85.root,ok,,1000,1000,1.0,0.0,0.04,0.0061967733539318665,0.0205,0.9035,0.854,0.854,0.14600000000000002,0.011166198995181844,2748.011116930671,2392.3621661123943,3034.766982608164,0.916003705643557,0.7974540553707982,1.0115889942027214,0.11688541078634523,0.026742607716986964,0.2712850402219895
ZtZt_8000_3000,ZtZt,8000,3000,85,120,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/ZtZt_8000_3000_pt120_ak8_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.039,0.006122009474020765,0.0195,0.894,0.857,0.857,0.14300000000000002,0.011070275515993268,2921.3496925504514,2593.3422187048573,3332.998875526739,0.9737832308501506,0.8644474062349523,1.1109996251755798,0.1265950219359281,0.009113652327580515,0.27221669885091304
ZtZt_8000_3000,ZtZt,8000,3000,85,200,0.8,0.6,/eos/uscms/store/user/aji/rootfiles_existingOptimization/ZtZt_8000_3000_pt200_ak8_ca6_th85.root,ok,,1000,1000,1.0,0.0,0.071,0.008121514637061242,0.036,0.887,0.838,0.838,0.16200000000000003,0.011651437679531227,2884.1549662964962,2510.796028137862,3141.4663573497555,0.9613849887654988,0.8369320093792874,1.0471554524499185,0.10933364132332467,0.013837449001609495,0.27519514244677484
