WbZt_6000_2000	100	300	4	0.4	0.4	0.85	4	4	85
WbZt_6000_2000	100	300	4	0.4	1.0	0.85	4	10	85
WbZt_6000_2000	100	300	4	0.4	1.2	0.85	4	12	85
WbZt_6000_2000	100	300	4	0.6	0.4	0.85	6	4	85
WbZt_6000_2000	100	300	4	0.6	1.4	0.85	6	14	85
WbZt_6000_2000	120	300	4	0.4	1.0	0.85	4	10	85
WbZt_6000_2000	120	300	4	0.8	0.6	0.85	8	6	85
WbZt_6000_2000	120	300	4	0.8	0.8	0.85	8	8	85
WbZt_6000_2000	120	300	4	0.8	1.6	0.85	8	16	85
WbZt_6000_2000	120	300	4	1.0	1.4	0.85	10	14	85
WbZt_6000_2000	120	300	4	1.0	1.6	0.85	10	16	85
WbZt_6000_2000	120	300	4	1.2	1.6	0.85	12	16	85
WbZt_6000_2000	140	300	4	0.4	0.6	0.85	4	6	85
WbZt_6000_2000	140	300	4	0.6	1.0	0.85	6	10	85
WbZt_6000_2000	140	300	4	0.8	0.6	0.85	8	6	85
WbZt_6000_2000	140	300	4	0.8	1.4	0.85	8	14	85
WbZt_6000_2000	140	300	4	1.2	1.0	0.85	12	10	85
WbZt_6000_2000	140	300	4	1.2	1.4	0.85	12	14	85
WbZt_6000_2000	140	300	4	1.6	1.6	0.85	16	16	85
WbZt_6000_2000	160	300	4	0.4	0.6	0.85	4	6	85
WbZt_6000_2000	160	300	4	0.6	1.2	0.85	6	12	85
WbZt_6000_2000	160	300	4	1.0	1.0	0.85	10	10	85
WbZt_6000_2000	160	300	4	1.2	1.0	0.85	12	10	85
WbZt_6000_2000	160	300	4	1.6	1.4	0.85	16	14	85
WbZt_6000_2000	200	300	4	0.4	1.6	0.85	4	16	85
WbZt_6000_2000	200	300	4	1.0	1.6	0.85	10	16	85
WbZt_6000_2000	220	300	4	0.6	1.4	0.85	6	14	85
WbZt_6000_2000	220	300	4	0.8	0.6	0.85	8	6	85
WbZt_6000_2000	220	300	4	1.4	1.2	0.85	14	12	85
WbZt_6000_2000	240	300	4	0.4	0.6	0.85	4	6	85
ZtZt_8000_3000	100	300	4	0.6	0.4	0.85	6	4	85
HtHt_8000_3000	100	300	4	0.8	0.6	0.85	8	6	85
